State;Year;valore_educazione;valore_poverta;violent_crime;population;violent_crime_rate;valore_urb;valore_disoc;valore_gini
Kentucky;1981;53.1;19.3;10144.0;3673284;276.1561589030415;50.9;8.633;0.4361
Louisiana;1981;57.7;22.0;25088.0;4322753;580.3708886443432;68.6;8.458;0.4529
Maine;1981;68.7;16.0;2224.0;1139937;195.0985010575146;47.5;7.242;0.4122
Maryland;1981;67.4;10.7;37845.0;4336685;872.671176255596;80.3;7.258;0.4139
Massachusetts;1981;72.2;8.9;32235.0;5774998;558.1820114916057;83.8;6.417;0.4443
Michigan;1981;68.0;13.0;58800.0;9370270;627.5166030434556;70.7;12.4;0.4236
Minnesota;1981;73.1;10.9;9340.0;4101608;227.7155691133819;66.9;5.742;0.4106
Mississippi;1981;54.8;25.7;5636.0;2530000;222.76679841897231;47.3;8.533;0.4423
Missouri;1981;63.5;13.2;25667.0;5009973;512.3181302573886;68.1;7.683;0.4239
Montana;1981;74.4;13.1;1316.0;805348;163.40762005989956;52.9;6.767;0.4159
Nebraska;1981;73.4;14.0;2803.0;1604413;174.70564000665664;62.9;4.133;0.4067
Nevada;1981;75.5;10.5;7418.0;850170;872.5313760777256;85.3;7.317;0.4166
New Hampshire;1981;72.3;7.6;1282.0;1052614;121.7920339269666;52.2;5.075;0.3989
New Jersey;1981;67.4;10.0;46674.0;7404654;630.3333011913859;89.0;7.5;0.4378
New Mexico;1981;68.9;18.6;8291.0;1328937;623.8820952385253;72.1;7.225;0.4372
New York;1981;66.3;14.4;185592.0;18809745;986.6800427119028;84.6;7.6;0.4723
North Carolina;1981;54.8;17.5;25470.0;5956122;427.6272379914314;48.0;6.458;0.4357
North Dakota;1981;66.4;14.2;444.0;662940;66.97438682233687;48.8;4.892;0.4158
Ohio;1981;67.0;12.7;51071.0;11009899;463.8643824071411;73.3;9.442;0.4247
Oklahoma;1981;66.0;13.8;13081.0;3125799;418.48500175475135;67.3;3.592;0.4286
Oregon;1981;75.6;12.3;12623.0;2652767;475.8427709632998;67.9;9.717;0.4198
Pennsylvania;1981;64.7;11.6;43699.0;12075312;361.8871297072904;69.3;8.317;0.4322
Rhode Island;1981;61.1;11.7;4206.0;956539;439.7102470469056;87.0;7.592;0.4317
South Carolina;1981;53.7;18.4;19912.0;3225026;617.4213789284179;54.1;8.15;0.4319
South Dakota;1981;67.9;19.5;625.0;694028;90.05400358486978;46.4;4.783;0.4056
Tennessee;1981;56.2;20.9;18372.0;4624368;397.2867211260003;60.4;8.867;0.4396
Texas;1981;62.6;15.4;74883.0;14893468;502.7908879248272;79.6;5.333;0.4400
Utah;1981;80.0;12.2;4152.0;1539164;269.7568290318641;84.4;6.642;0.3857
Vermont;1981;71.0;12.3;273.0;518784;52.623056994818654;33.8;5.742;0.4058
Virginia;1981;62.4;12.6;17384.0;5428769;320.21992462748;66.0;5.883;0.4320
Washington;1981;77.6;11.3;18167.0;4225712;429.915715978751;73.5;9.333;0.4163
West Virginia;1981;56.0;19.9;3367.0;1954521;172.26727162307284;36.2;10.592;0.4264
Wisconsin;1981;69.6;8.1;8459.0;4769913;177.3407607224702;64.2;7.858;0.4031
Wyoming;1981;77.9;8.9;2052.0;492000;417.07317073170736;62.7;4.142;0.3989
Alabama;1982;56.5;21.6;17265.0;4007808;430.78410941841526;60.0;13.8;0.4415
Alaska;1982;82.5;10.6;2632.0;480391;547.8870336871423;64.3;10.017;0.3864
Arizona;1982;72.4;14.8;14717.0;2872286;512.3793382692393;83.8;9.942;0.4272
Arkansas;1982;55.5;23.8;7373.0;2309406;319.2595844992176;51.6;9.483;0.4347
California;1982;73.5;14.1;201462.0;24902595;809.000025900915;91.3;10.067;0.4478
Colorado;1982;78.6;12.6;15160.0;3063569;494.8476760275352;80.6;7.633;0.4204
Connecticut;1982;70.3;8.1;12513.0;3230948;387.2857130476875;78.8;6.833;0.4564
Delaware;1982;68.6;11.5;3369.0;603669;558.0872961838359;70.6;8.433;0.4130
District of Columbia;1982;67.1;19.3;13420.0;631000;2126.782884310618;100.0;10.35;0.4923
Florida;1982;66.7;15.2;93404.0;10542211;886.0000999790271;84.3;8.542;0.4434
Georgia;1982;56.4;19.6;25307.0;5670797;446.2688401647952;62.4;7.783;0.4392
Hawaii;1982;73.8;13.2;2542.0;1041835;243.99257080055864;86.5;6.133;0.4046
Idaho;1982;73.7;15.6;2456.0;987754;248.64490551291112;54.0;9.95;0.4027
Illinois;1982;66.5;13.4;51326.0;11553548;444.2444866286963;83.3;11.317;0.4404
Indiana;1982;66.4;12.6;15100.0;5484374;275.3276855298344;64.2;11.883;0.4122
Iowa;1982;71.5;13.4;4773.0;2917664;163.5897759303333;58.6;8.425;0.4019
Kansas;1982;73.3;10.4;8080.0;2442269;330.8398870067138;66.7;6.358;0.4158
Kentucky;1982;53.1;16.2;10294.0;3678626;279.8327418987415;50.9;10.8;0.4372
Louisiana;1982;57.7;22.7;26844.0;4379987;612.8785313746365;68.6;10.2;0.4540
Maine;1982;68.7;13.7;1847.0;1144555;161.37276059254472;47.5;8.5;0.4133
Maryland;1982;67.4;12.3;36189.0;4343762;833.1257559691345;80.3;8.167;0.4150
Massachusetts;1982;72.2;10.3;30946.0;5786183;534.8258083092084;83.8;7.833;0.4454
Michigan;1982;68.0;16.2;55880.0;9272139;602.6656848004543;70.7;15.383;0.4246
Minnesota;1982;73.1;13.3;9061.0;4147125;218.48871205955933;66.9;7.817;0.4117
Mississippi;1982;54.8;22.9;5493.0;2551000;215.3273226185809;47.3;10.992;0.4434
Missouri;1982;63.5;14.6;24233.0;5034639;481.3254733854801;68.1;9.267;0.4250
Montana;1982;74.4;17.0;1471.0;870804;168.92435037046224;52.9;8.592;0.4169
Nebraska;1982;73.4;13.6;3601.0;1661688;216.70734819051472;62.9;5.508;0.4077
Nevada;1982;75.5;7.8;6869.0;886170;775.1334394077886;85.3;9.967;0.4177
New Hampshire;1982;72.3;10.3;1141.0;1062106;107.42807215099056;52.2;6.85;0.4000
New Jersey;1982;67.4;12.2;45177.0;7441411;607.1026046001222;89.0;8.758;0.4389
New Mexico;1982;68.9;22.4;8168.0;1362303;599.5729290767179;72.1;9.042;0.4383
New York;1982;66.3;14.8;173355.0;18864583;918.9442459449012;84.6;8.7;0.4734
North Carolina;1982;54.8;20.3;26254.0;6024181;435.81027860882665;48.0;9.3;0.4368
North Dakota;1982;66.4;12.9;412.0;675030;61.03432440039702;48.8;5.525;0.4168
Ohio;1982;67.0;12.8;44881.0;11035040;406.7135234670649;73.3;12.725;0.4257
Oklahoma;1982;66.0;15.4;14038.0;3204221;438.1096060477726;67.3;6.1;0.4297
Oregon;1982;75.6;13.9;12495.0;2655904;470.4612817330747;67.9;11.333;0.4209
Pennsylvania;1982;64.7;13.5;42626.0;12090006;352.57219888890046;69.3;10.85;0.4333
Rhode Island;1982;61.1;13.3;3849.0;962568;399.8678534919091;87.0;9.842;0.4328
South Carolina;1982;53.7;21.2;23032.0;3260946;706.298111038944;54.1;10.8;0.4330
South Dakota;1982;67.9;16.8;560.0;703588;79.59203397442822;46.4;5.425;0.4067
Tennessee;1982;56.2;23.6;18833.0;4662895;403.8907159607927;60.4;11.808;0.4407
Texas;1982;62.6;16.2;88080.0;15451085;570.0570542457051;79.6;6.908;0.4411
Utah;1982;80.0;14.5;4443.0;1581972;280.8519999089744;84.4;8.125;0.3868
Vermont;1982;71.0;12.9;262.0;519791;50.4048742667726;33.8;7.05;0.4069
Virginia;1982;62.4;12.5;16951.0;5493803;308.54764905112177;66.0;7.333;0.4331
Washington;1982;77.6;12.9;16816.0;4258819;394.8512486677645;73.5;11.733;0.4174
West Virginia;1982;56.0;24.8;3371.0;1951516;172.7375025364896;36.2;14.008;0.4275
Wisconsin;1982;69.6;9.5;8832.0;4799408;184.022696132523;64.2;10.375;0.4042
Wyoming;1982;77.9;12.0;1528.0;502000;304.38247011952194;62.7;5.933;0.4000
Alabama;1983;56.5;23.0;16240.0;4018684;404.1123910215384;60.0;13.867;0.4426
Alaska;1983;82.5;12.6;2884.0;525359;548.9579506585021;64.3;10.125;0.3875
Arizona;1983;72.4;16.3;14555.0;2975728;489.12400595753377;83.8;9.1;0.4283
Arkansas;1983;55.5;21.5;6912.0;2357259;293.2219157928764;51.6;9.717;0.4358
California;1983;73.5;14.9;194619.0;25457775;764.4776497553302;91.3;9.833;0.4489
Colorado;1983;78.6;12.6;14879.0;3160502;470.7796419682696;80.6;7.117;0.4215
Connecticut;1983;70.3;8.8;11767.0;3205164;367.1262999334824;78.8;5.975;0.4574
Delaware;1983;68.6;8.6;2746.0;607678;451.8840570170386;70.6;7.725;0.4141
District of Columbia;1983;67.1;21.5;12369.0;623000;1985.3932584269664;100.0;10.842;0.4934
Florida;1983;66.7;14.7;88289.0;10806691;816.9845885294583;84.3;8.625;0.4445
Georgia;1983;56.4;18.8;24925.0;5764320;432.40139339939486;62.4;7.617;0.4403
Hawaii;1983;73.8;12.9;2579.0;1072227;240.52742562908784;86.5;5.892;0.4056
Idaho;1983;73.7;17.7;2345.0;1011239;231.89374618660872;54.0;9.192;0.4038
Illinois;1983;66.5;14.3;63117.0;11588790;544.6383962432661;83.3;11.7;0.4415
Indiana;1983;66.4;16.1;14140.0;5492393;257.4469816708309;64.2;11.1;0.4132
Iowa;1983;71.5;16.7;5262.0;2917664;180.3497592594624;58.6;8.167;0.4030
Kansas;1983;73.3;13.6;7908.0;2457371;321.8073298659421;66.7;5.9;0.4169
Kentucky;1983;53.1;17.9;10033.0;3725773;269.28640043287663;50.9;11.258;0.4383
Louisiana;1983;57.7;21.5;25913.0;4456297;581.491763228528;68.6;11.467;0.4550
Maine;1983;68.7;12.4;1829.0;1154058;158.4842356276721;47.5;8.258;0.4144
Maryland;1983;67.4;8.7;34737.0;4385408;792.1041782201337;80.3;6.95;0.4160
Massachusetts;1983;72.2;7.7;30991.0;5783341;535.866724787627;83.8;6.992;0.4465
Michigan;1983;68.0;16.8;61425.0;9231383;665.3932568933603;70.7;14.5;0.4257
Minnesota;1983;73.1;12.1;7905.0;4158158;190.10821618610933;66.9;8.058;0.4128
Mississippi;1983;54.8;27.0;5233.0;2587000;202.2806339389254;47.3;12.0;0.4445
Missouri;1983;63.5;16.7;22884.0;5042663;453.8078392309778;68.1;9.892;0.4261
Montana;1983;74.4;15.4;1687.0;889228;189.715123680316;52.9;8.75;0.4180
Nebraska;1983;73.4;15.2;3434.0;1671779;205.40992559423228;62.9;5.55;0.4088
Nevada;1983;75.5;9.7;5646.0;896228;629.9736227834882;85.3;9.8;0.4188
New Hampshire;1983;72.3;8.1;1195.0;1096524;108.98074278355968;52.2;5.475;0.4011
New Jersey;1983;67.4;11.1;41305.0;7471424;552.8397264028919;89.0;8.275;0.4400
New Mexico;1983;68.9;24.5;7427.0;1404645;528.7456973114204;72.1;9.75;0.4394
New York;1983;66.3;16.0;160741.0;18873093;851.6939963152832;84.6;8.933;0.4745
North Carolina;1983;54.8;15.8;24265.0;6087858;398.5802559783753;48.0;9.0;0.4378
North Dakota;1983;66.4;15.0;362.0;685104;52.83869310352881;48.8;5.8;0.4179
Ohio;1983;67.0;13.4;40815.0;10971041;372.024860721968;73.3;12.275;0.4268
Oklahoma;1983;66.0;17.0;13929.0;3327862;418.5570194917938;67.3;8.15;0.4307
Oregon;1983;75.6;16.1;12960.0;2668934;485.587129543106;67.9;10.833;0.4220
Pennsylvania;1983;64.7;15.4;40625.0;12106312;335.56875124315314;69.3;11.017;0.4344
Rhode Island;1983;61.1;14.5;3666.0;959553;382.0528933784793;87.0;8.458;0.4339
South Carolina;1983;53.7;20.8;20077.0;3318478;605.0062709471028;54.1;9.858;0.4341
South Dakota;1983;67.9;18.4;684.0;712748;95.96659688978431;46.4;5.158;0.4078
Tennessee;1983;56.2;20.0;18008.0;4698522;383.2694621840656;60.4;11.542;0.4417
Texas;1983;62.6;16.0;80518.0;15917022;505.8609581616461;79.6;8.075;0.4421
Utah;1983;80.0;13.5;4090.0;1648138;248.15883135999536;84.4;8.992;0.3879
Vermont;1983;71.0;15.6;255.0;528856;48.21728410001966;33.8;6.467;0.4080
Virginia;1983;62.4;11.3;16257.0;5552833;292.7694746087268;66.0;6.283;0.4342
Washington;1983;77.6;10.8;15722.0;4308192;364.932667810534;73.5;11.125;0.4185
West Virginia;1983;56.0;22.1;3290.0;1968542;167.12876839813424;36.2;17.075;0.4286
Wisconsin;1983;69.6;10.7;8948.0;4782685;187.0915604937394;64.2;9.85;0.4052
Wyoming;1983;77.9;12.6;1209.0;514000;235.2140077821012;62.7;7.825;0.4011
Alabama;1984;56.5;19.1;16858.0;4047951;416.4576102823379;60.0;11.383;0.4436
Alaska;1984;82.5;9.6;2822.0;557682;506.02314580710873;64.3;9.9;0.3886
Arizona;1984;72.4;18.2;15510.0;3061489;506.6162249807202;83.8;4.958;0.4293
Arkansas;1984;55.5;23.9;7489.0;2381048;314.52536866119453;51.6;8.525;0.4369
California;1984;73.5;13.2;195560.0;25824263;757.2723372589569;91.3;7.758;0.4499
Colorado;1984;78.6;8.9;14435.0;3198225;451.34410493320513;80.6;5.492;0.4226
Connecticut;1984;70.3;6.9;12418.0;3221649;385.4547779723986;78.8;4.65;0.4585
Delaware;1984;68.6;10.3;2671.0;614795;434.45376100976745;70.6;6.1;0.4152
District of Columbia;1984;67.1;21.1;10730.0;623000;1722.3113964687;100.0;8.858;0.4945
Florida;1984;66.7;15.1;95270.0;11004237;865.7574350679652;84.3;6.592;0.4456
Georgia;1984;56.4;16.9;26120.0;5874774;444.6128480857306;62.4;6.117;0.4414
Hawaii;1984;73.8;9.3;2408.0;1088227;221.27736216800355;86.5;5.417;0.4067
Idaho;1984;73.7;17.3;2351.0;1024888;229.39091881259225;54.0;7.208;0.4048
Illinois;1984;66.5;15.0;23097.0;11612480;198.89808206343525;83.3;9.15;0.4426
Indiana;1984;66.4;12.9;14781.0;5511510;268.1842181180838;64.2;8.483;0.4143
Iowa;1984;71.5;14.6;5781.0;2922583;197.80447638270667;58.6;6.917;0.4041
Kansas;1984;73.3;10.7;8130.0;2469215;329.2544391638638;66.7;4.933;0.4180
Kentucky;1984;53.1;19.1;10038.0;3754759;267.34072679498206;50.9;9.117;0.4394
Louisiana;1984;57.7;20.6;27185.0;4480197;606.7813535877998;68.6;10.258;0.4561
Maine;1984;68.7;13.0;1832.0;1163943;157.39602368844524;47.5;6.15;0.4155
Maryland;1984;67.4;8.7;34455.0;4438521;776.2720960428035;80.3;5.4;0.4171
Massachusetts;1984;72.2;8.9;28626.0;5814655;492.3077981410763;83.8;4.758;0.4476
Michigan;1984;68.0;16.7;65591.0;9268441;707.6810436620354;70.7;11.242;0.4268
Minnesota;1984;73.1;9.1;8800.0;4175935;210.73124940881505;66.9;6.375;0.4138
Mississippi;1984;54.8;25.1;5590.0;2614707;213.79068476888617;47.3;10.65;0.4456
Missouri;1984;63.5;14.5;22027.0;5080944;433.5218022477712;68.1;7.317;0.4272
Montana;1984;74.4;13.8;1779.0;889032;200.10528304942903;52.9;7.5;0.4191
Nebraska;1984;73.4;13.3;3575.0;1698403;210.49185617312264;62.9;4.433;0.4099
Nevada;1984;75.5;10.5;5473.0;916349;597.2615237207658;85.3;7.692;0.4199
New Hampshire;1984;72.3;7.1;1268.0;1112253;114.00283928206984;52.2;4.225;0.4022
New Jersey;1984;67.4;10.1;39678.0;7518447;527.7419658607688;89.0;6.308;0.4411
New Mexico;1984;68.9;19.5;7974.0;1436880;554.952396859863;72.1;7.7;0.4405
New York;1984;66.3;16.0;160421.0;18951381;846.4871240781872;84.6;7.258;0.4756
North Carolina;1984;54.8;14.6;24226.0;6170971;392.58003319088687;48.0;6.608;0.4389
North Dakota;1984;66.4;15.4;356.0;691036;51.51685295700948;48.8;5.292;0.4190
Ohio;1984;67.0;13.5;39130.0;10980343;356.3640953656912;73.3;9.417;0.4279
Oklahoma;1984;66.0;13.3;13434.0;3343462;401.799093275174;67.3;6.8;0.4318
Oregon;1984;75.6;12.8;13478.0;2680631;502.7920664947917;67.9;9.292;0.4230
Pennsylvania;1984;64.7;15.6;37788.0;12157173;310.8288415407102;69.3;8.842;0.4355
Rhode Island;1984;61.1;12.8;3220.0;966452;333.1774366445514;87.0;5.392;0.4350
South Carolina;1984;53.7;17.2;20551.0;3361430;611.3767057472564;54.1;6.967;0.4351
South Dakota;1984;67.9;14.5;762.0;718380;106.07199532280966;46.4;4.367;0.4089
Tennessee;1984;56.2;17.4;19957.0;4730831;421.84977649804017;60.4;8.7;0.4428
Texas;1984;62.6;15.7;80684.0;16115527;500.66001564826274;79.6;6.133;0.4432
Utah;1984;80.0;11.1;4001.0;1683740;237.62576169717417;84.4;6.567;0.3890
Vermont;1984;71.0;12.6;713.0;544102;131.04160616943145;33.8;4.858;0.4090
Virginia;1984;62.4;10.0;16683.0;5639141;295.84293068749304;66.0;5.058;0.4353
Washington;1984;77.6;11.3;17394.0;4353466;399.54371987744935;73.5;9.267;0.4196
West Virginia;1984;56.0;20.4;3229.0;1954068;165.24501706184228;36.2;14.083;0.4297
Wisconsin;1984;69.6;15.5;9346.0;4797837;194.7961133319036;64.2;7.283;0.4063
Wyoming;1984;77.9;10.9;1240.0;511000;242.6614481409001;62.7;6.258;0.4022
Alabama;1985;56.5;20.6;18107.0;4086156;443.130414012583;60.0;9.575;0.4447
Alaska;1985;82.5;8.7;2970.0;579424;512.5780085049981;64.3;9.8;0.3896
Arizona;1985;72.4;10.7;18648.0;3195861;583.5047268951935;83.8;6.325;0.4304
Arkansas;1985;55.5;22.9;8173.0;2402908;340.12954303702014;51.6;8.467;0.4380
California;1985;73.5;13.6;201371.0;26566282;757.9946640632663;91.3;7.183;0.4510
Colorado;1985;78.6;10.2;15191.0;3254888;466.71344759020894;80.6;5.983;0.4237
Connecticut;1985;70.3;7.6;12758.0;3242075;393.5134134774797;78.8;4.45;0.4596
Delaware;1985;68.6;11.4;2695.0;639650;421.32416165090285;70.6;5.067;0.4163
District of Columbia;1985;67.1;20.4;10179.0;626000;1626.0383386581468;100.0;7.983;0.4955
Florida;1985;66.7;13.4;106815.0;11393898;937.4754802965588;84.3;6.092;0.4467
Georgia;1985;56.4;17.7;28783.0;6014671;478.5465406171011;62.4;6.358;0.4425
Hawaii;1985;73.8;10.7;2313.0;1103930;209.52415461125253;86.5;5.242;0.4078
Idaho;1985;73.7;16.0;2318.0;1028987;225.2700957349316;54.0;7.833;0.4059
