State;Year;valore_educazione;valore_poverta;violent_crime;population;violent_crime_rate;valore_urb;valore_disoc;valore_gini
Vermont;1985;71.0;9.2;781.0;546603;142.88249424170743;33.8;4.608;0.4101
Virginia;1985;62.4;10.0;16813.0;5711438;294.37420138325933;66.0;5.308;0.4364
Washington;1985;77.6;12.0;18503.0;4412910;419.2924850042262;73.5;8.3;0.4207
West Virginia;1985;56.0;22.3;3115.0;1938052;160.72840150831868;36.2;13.175;0.4308
Wisconsin;1985;69.6;11.6;9809.0;4806893;204.06112638662856;64.2;7.133;0.4074
Wyoming;1985;77.9;12.0;1305.0;510203;255.7805422547496;62.7;6.983;0.4032
Alabama;1986;56.5;23.8;22009.0;4120193;534.1740059264214;60.0;9.533;0.4458
Alaska;1986;82.5;11.4;2842.0;534000;532.2097378277153;64.3;11.025;0.3907
Arizona;1986;72.4;14.3;21689.0;3326187;652.0679685177051;83.8;7.042;0.4315
Arkansas;1986;55.5;21.3;9324.0;2418887;385.4665389495252;51.6;8.542;0.4390
California;1986;73.5;12.7;248342.0;27193441;913.242277797797;91.3;6.767;0.4521
Colorado;1986;78.6;13.5;17095.0;3299695;518.0781860141619;80.6;7.517;0.4248
Connecticut;1986;70.3;6.0;13578.0;3257504;416.82220497657096;78.8;3.733;0.4607
Delaware;1986;68.6;12.4;2703.0;651392;414.9575063863234;70.6;4.325;0.4174
District of Columbia;1986;67.1;12.8;9423.0;626000;1505.2715654952076;100.0;7.333;0.4966
Florida;1986;66.7;11.4;120972.0;11703727;1033.6194615612617;84.3;5.858;0.4478
Georgia;1986;56.4;14.6;34494.0;6149745;560.9013056638934;62.4;5.908;0.4436
Hawaii;1986;73.8;10.7;2604.0;1111930;234.187403883338;86.5;4.642;0.4089
Idaho;1986;73.7;18.5;2164.0;1036521;208.7753166602509;54.0;8.467;0.4070
Illinois;1986;66.5;13.3;88508.0;11659357;759.115618468497;83.3;8.317;0.4448
Indiana;1986;66.4;12.7;14874.0;5517626;269.5724574300614;64.2;6.783;0.4165
Iowa;1986;71.5;12.9;6703.0;2863256;234.10411084443723;58.6;6.792;0.4063
Kansas;1986;73.3;11.1;8965.0;2476142;362.0551648491888;66.7;5.367;0.4201
Kentucky;1986;53.1;17.7;12401.0;3740656;331.51939125116024;50.9;9.233;0.4416
Louisiana;1986;57.7;22.0;30538.0;4527564;674.490741599677;68.6;12.375;0.4583
Maine;1986;68.7;10.2;1724.0;1184338;145.56655279151727;47.5;5.258;0.4176
Maryland;1986;67.4;9.2;37154.0;4540424;818.2936219172482;80.3;4.508;0.4193
Massachusetts;1986;72.2;9.2;29116.0;5860271;496.8370916635084;83.8;4.017;0.4498
Michigan;1986;68.0;13.9;72688.0;9341302;778.135638907724;70.7;8.908;0.4290
Minnesota;1986;73.1;12.5;11989.0;4228232;283.5464089955329;66.9;5.542;0.4160
Mississippi;1986;54.8;26.6;4906.0;2641643;185.71775217165984;47.3;11.417;0.4478
Missouri;1986;63.5;14.4;28001.0;5136721;545.1142859423356;68.1;6.408;0.4294
Montana;1986;74.4;16.5;1005.0;895401;112.24021416102951;52.9;7.942;0.4213
Nebraska;1986;73.4;13.6;4147.0;1690837;245.2631448211744;62.9;4.858;0.4121
Nevada;1986;75.5;8.1;6448.0;968281;665.9223923633739;85.3;6.333;0.4221
New Hampshire;1986;72.3;3.7;1433.0;1167503;122.7405839642382;52.2;2.633;0.4043
New Jersey;1986;67.4;8.9;43287.0;7634094;567.0220984965603;89.0;5.033;0.4433
New Mexico;1986;68.9;21.3;9138.0;1492636;612.2055209709534;72.1;9.217;0.4426
New York;1986;66.3;13.2;173988.0;19023903;914.575731383828;84.6;6.208;0.4778
North Carolina;1986;54.8;14.3;29270.0;6347911;461.09657176983103;48.0;5.317;0.4411
North Dakota;1986;66.4;13.5;344.0;683963;50.29511830318307;48.8;5.558;0.4212
Ohio;1986;67.0;12.8;42232.0;11048280;382.2495447255138;73.3;8.317;0.4301
Oklahoma;1986;66.0;14.7;14418.0;3347384;430.724410465008;67.3;8.325;0.4340
Oregon;1986;75.6;12.3;14799.0;2716601;544.7616341155731;67.9;7.933;0.4252
Pennsylvania;1986;64.7;10.1;41600.0;12211542;340.6613186115234;69.3;6.992;0.4376
Rhode Island;1986;61.1;9.1;3266.0;979561;333.41466228238977;87.0;4.05;0.4372
South Carolina;1986;53.7;17.3;22707.0;3444418;659.2405451370885;54.1;6.375;0.4373
South Dakota;1986;67.9;17.0;783.0;720397;108.6900695033433;46.4;4.65;0.4110
Tennessee;1986;56.2;18.3;24305.0;4819521;504.30322847436497;60.4;7.883;0.4450
Texas;1986;62.6;17.3;109889.0;16793731;654.3453625641616;79.6;8.825;0.4454
Utah;1986;80.0;12.6;4438.0;1716434;258.5593154178955;84.4;6.158;0.3911
Vermont;1986;71.0;11.0;807.0;554275;145.5955978530513;33.8;4.242;0.4112
Virginia;1986;62.4;9.7;17727.0;5792479;306.03477371260215;66.0;4.908;0.4374
Washington;1986;77.6;12.9;19185.0;4466923;429.490277759433;73.5;8.075;0.4218
West Virginia;1986;56.0;22.4;3131.0;1920946;162.99260885001453;36.2;12.033;0.4319
Wisconsin;1986;69.6;10.7;12172.0;4817106;252.68283488052785;64.2;6.792;0.4085
Wyoming;1986;77.9;14.6;1483.0;509376;291.1405327302425;62.7;8.467;0.4043
Alabama;1987;56.5;21.3;22219.0;4149862;535.415394536011;60.0;8.2;0.4469
Alaska;1987;82.5;12.0;2317.0;525000;441.3333333333333;64.3;10.15;0.3918
Arizona;1987;72.4;12.8;20517.0;3395685;604.2079874900056;83.8;6.492;0.4326
Arkansas;1987;55.5;21.8;9751.0;2439566;399.7022421201148;51.6;8.117;0.4401
California;1987;73.5;12.3;253879.0;27885070;910.4477772514108;91.3;5.833;0.4532
Colorado;1987;78.6;12.5;15402.0;3328320;462.7559850014421;80.6;7.525;0.4259
Connecticut;1987;70.3;6.6;13367.0;3285408;406.8596655270822;78.8;3.167;0.4618
Delaware;1987;68.6;6.6;2655.0;662642;400.6688377736395;70.6;3.042;0.4184
District of Columbia;1987;67.1;14.9;10016.0;622000;1610.289389067524;100.0;6.208;0.4977
Florida;1987;66.7;12.4;122992.0;12051914;1020.5184006457398;84.3;5.4;0.4488
Georgia;1987;56.4;14.6;34566.0;6269031;551.377078849985;62.4;5.55;0.4446
Hawaii;1987;73.8;8.8;2851.0;1133879;251.4377636414468;86.5;3.7;0.4100
Idaho;1987;73.7;15.1;2126.0;1028254;206.75825233843;54.0;7.683;0.4081
Illinois;1987;66.5;14.4;87475.0;11686765;748.4962690701832;83.3;7.442;0.4458
Indiana;1987;66.4;11.1;15370.0;5545171;277.1781068609065;64.2;6.133;0.4176
Iowa;1987;71.5;14.5;6509.0;2846018;228.70551064680544;58.6;5.608;0.4074
Kansas;1987;73.3;9.2;8748.0;2489404;351.4094136588517;66.7;4.792;0.4212
Kentucky;1987;53.1;17.3;10898.0;3745872;290.9335930325436;50.9;8.25;0.4426
Louisiana;1987;57.7;25.1;27102.0;4487402;603.9574791828323;68.6;11.75;0.4594
Maine;1987;68.7;11.7;1799.0;1193494;150.73389560399968;47.5;4.342;0.4187
Maryland;1987;67.4;9.2;29538.0;4614486;640.114630318523;80.3;4.308;0.4204
Massachusetts;1987;72.2;8.2;30873.0;5884226;524.6739333261503;83.8;3.342;0.4508
Michigan;1987;68.0;12.2;71257.0;9422447;756.2472890534699;70.7;8.383;0.4301
Minnesota;1987;73.1;11.3;12107.0;4260244;284.18560063695884;66.9;5.133;0.4171
Mississippi;1987;54.8;25.0;4812.0;2642649;182.0900164948126;47.3;10.075;0.4488
Missouri;1987;63.5;14.0;26504.0;5174684;512.1858648760001;68.1;6.242;0.4304
Montana;1987;74.4;18.0;629.0;882767;71.2532299009818;52.9;7.458;0.4224
Nebraska;1987;73.4;11.9;3936.0;1684553;233.6524882268472;62.9;4.317;0.4132
Nevada;1987;75.5;10.4;6408.0;1011971;633.219726652246;85.3;6.192;0.4231
New Hampshire;1987;72.3;4.8;1571.0;1199593;130.96108430109211;52.2;2.208;0.4054
New Jersey;1987;67.4;8.3;41378.0;7686328;538.3324781352031;89.0;4.042;0.4444
New Mexico;1987;68.9;19.4;7880.0;1513969;520.4862186742265;72.1;8.967;0.4437
New York;1987;66.3;14.3;179083.0;19376674;924.2195022737131;84.6;4.783;0.4789
North Carolina;1987;54.8;13.8;29996.0;6438075;465.915665785192;48.0;4.55;0.4422
North Dakota;1987;66.4;11.4;369.0;680134;54.25401465005426;48.8;4.975;0.4223
Ohio;1987;67.0;12.7;41916.0;11081160;378.2636474881691;73.3;7.1;0.4312
Oklahoma;1987;66.0;17.0;13652.0;3319416;411.27716441687335;67.3;7.175;0.4351
Oregon;1987;75.6;14.2;14580.0;2743106;531.5142761526532;67.9;6.142;0.4263
Pennsylvania;1987;64.7;10.6;42052.0;12287271;342.2403558935096;69.3;5.775;0.4387
Rhode Island;1987;61.1;8.1;3708.0;990693;374.28345612616624;87.0;3.725;0.4383
South Carolina;1987;53.7;15.6;22638.0;3493298;648.0409057572529;54.1;5.467;0.4384
South Dakota;1987;67.9;15.2;769.0;723988;106.21723011983624;46.4;4.333;0.4121
Tennessee;1987;56.2;16.9;24232.0;4871746;497.3986739045919;60.4;6.65;0.4461
Texas;1987;62.6;17.6;105908.0;16897175;626.7793284972192;79.6;8.525;0.4465
Utah;1987;80.0;10.2;3844.0;1733174;221.7896183533794;84.4;6.225;0.3922
Vermont;1987;71.0;9.3;748.0;561378;133.24355425399642;33.8;3.633;0.4123
Virginia;1987;62.4;9.9;17093.0;5909479;289.24715698287446;66.0;4.2;0.4385
Washington;1987;77.6;10.0;19531.0;4542029;430.0060611678173;73.5;7.258;0.4228
West Virginia;1987;56.0;21.6;2605.0;1945724;133.88332569264705;36.2;10.9;0.4329
Wisconsin;1987;69.6;9.0;11785.0;4840238;243.47976277199592;64.2;5.733;0.4096
Wyoming;1987;77.9;10.8;1388.0;492578;281.7827836403575;62.7;7.925;0.4054
Alabama;1988;56.5;19.3;21680.0;4199336;516.2720963504706;60.0;7.267;0.4480
Alaska;1988;82.5;11.0;2607.0;513000;508.1871345029239;64.3;8.783;0.3929
Arizona;1988;72.4;14.1;20864.0;3475852;600.2557070899452;83.8;6.425;0.4337
Arkansas;1988;55.5;21.6;10200.0;2476263;411.9110126832247;51.6;7.667;0.4412
California;1988;73.5;13.2;261283.0;28413241;919.5818245444086;91.3;5.275;0.4543
Colorado;1988;78.6;12.5;15541.0;3320311;468.0585643935161;80.6;6.417;0.4269
Connecticut;1988;70.3;4.0;14760.0;3326040;443.77097088429485;78.8;2.908;0.4629
Delaware;1988;68.6;8.6;2981.0;679081;438.975615574578;70.6;3.008;0.4195
District of Columbia;1988;67.1;15.2;11914.0;620000;1921.6129032258063;100.0;5.0;0.4988
Florida;1988;66.7;13.6;135104.75;12412311;1090.4937902821057;84.3;5.192;0.4499
Georgia;1988;56.4;14.0;41313.0;6449325;640.5786652091498;62.4;5.608;0.4457
Hawaii;1988;73.8;11.1;2810.0;1143879;245.65535340713487;86.5;3.042;0.4111
Idaho;1988;73.7;12.5;2474.0;1031963;239.7372774023875;54.0;6.183;0.4092
Illinois;1988;66.5;12.7;89041.0;11667531;763.1520327651155;83.3;6.733;0.4469
Indiana;1988;66.4;10.1;18621.0;5589356;333.15108216402746;64.2;5.158;0.4187
Iowa;1988;71.5;9.4;7279.0;2845958;255.76624813156064;58.6;4.658;0.4085
Kansas;1988;73.3;8.1;8734.0;2490770;350.6546168453932;66.7;4.492;0.4223
Kentucky;1988;53.1;17.6;12348.0;3740136;330.80746160414566;50.9;7.425;0.4437
Louisiana;1988;57.7;22.8;27759.0;4446242;624.3249917570838;68.6;10.5;0.4605
Maine;1988;68.7;13.2;1896.0;1217917;155.6756330685917;47.5;3.675;0.4198
Maryland;1988;67.4;9.8;37464.0;4775413;784.518532742613;80.3;4.208;0.4215
Massachusetts;1988;72.2;8.5;32623.0;5900227;552.9109303760686;83.8;3.3;0.4519
Michigan;1988;68.0;12.1;67848.0;9535293;711.5460426858409;70.7;7.542;0.4311
Minnesota;1988;73.1;11.6;12490.0;4320534;289.0846362972725;66.9;4.308;0.4182
Mississippi;1988;54.8;27.2;5900.0;2645137;223.05082874724448;47.3;8.533;0.4499
Missouri;1988;63.5;12.7;27228.0;5210876;522.5225086914369;68.1;5.692;0.4315
Montana;1988;74.4;14.6;855.0;889906;96.07756324825318;52.9;6.65;0.4234
Nebraska;1988;73.4;10.3;4309.0;1691578;254.7325633225308;62.9;3.475;0.4142
Nevada;1988;75.5;8.6;7417.0;1065008;696.4266935084056;85.3;5.225;0.4242
New Hampshire;1988;72.3;6.7;1549.0;1239280;124.99193079852816;52.2;2.375;0.4065
New Jersey;1988;67.4;6.2;44951.0;7734524;581.1734503635905;89.0;3.75;0.4454
New Mexico;1988;68.9;23.0;8251.0;1529411;539.4887312828272;72.1;7.617;0.4448
New York;1988;66.3;13.4;195181.0;19440858;1003.9731785500414;84.6;4.233;0.4799
North Carolina;1988;54.8;12.6;31584.0;6551413;482.09447336017433;48.0;3.692;0.4433
North Dakota;1988;66.4;11.6;390.0;670762;58.14282860388632;48.8;4.667;0.4233
Ohio;1988;67.0;12.4;43336.0;11172374;387.88533215948553;73.3;6.042;0.4322
Oklahoma;1988;66.0;17.3;14178.0;3312954;427.9564400833818;67.3;6.358;0.4362
Oregon;1988;75.6;10.4;14919.0;2760232;540.4980450918619;67.9;5.742;0.4274
Pennsylvania;1988;64.7;10.3;41288.0;12399175;332.98989650521105;69.3;5.158;0.4398
Rhode Island;1988;61.1;9.8;3939.0;999739;394.0028347398671;87.0;2.958;0.4393
South Carolina;1988;53.7;15.5;25746.0;3562408;722.7134005986961;54.1;4.608;0.4395
South Dakota;1988;67.9;14.2;574.0;730011;78.6289521664742;46.4;4.15;0.4132
Tennessee;1988;56.2;18.0;24589.0;4935903;498.16619167759177;60.4;5.775;0.4472
Texas;1988;62.6;18.0;109479.0;16890568;648.1664796589434;79.6;7.417;0.4476
Utah;1988;80.0;9.8;4097.0;1750459;234.0528969830199;84.4;4.95;0.3933
Vermont;1988;71.0;8.1;783.0;564545;138.69576384522048;33.8;3.017;0.4134
Virginia;1988;62.4;10.8;17957.0;6001507;299.2081822115679;66.0;3.917;0.4396
Washington;1988;77.6;8.7;21033.0;4627950;454.477684503938;73.5;6.292;0.4239
West Virginia;1988;56.0;17.9;2476.0;1931914;128.16305487718398;36.2;9.842;0.4340
Wisconsin;1988;69.6;7.8;10365.0;4891622;211.8929058704864;64.2;4.392;0.4107
Wyoming;1988;77.9;9.6;1477.0;474665;311.1668229172153;62.7;6.367;0.4065
Alabama;1989;56.5;18.9;23626.0;4194689;563.2360349003228;60.0;6.983;0.4491
Alaska;1989;82.5;10.5;2515.0;527000;477.2296015180265;64.3;7.133;0.3940
Arizona;1989;72.4;14.1;20249.0;3565734;567.8774692671972;83.8;5.275;0.4348
Arkansas;1989;55.5;18.3;11378.0;2465686;461.4537293069758;51.6;7.025;0.4423
California;1989;73.5;12.9;283221.0;29323401;965.8531764443012;91.3;5.108;0.4554
Colorado;1989;78.6;12.1;15635.0;3353058;466.2907709917335;80.6;5.575;0.4280
Connecticut;1989;70.3;2.9;16576.0;3324648;498.57909769695925;78.8;3.633;0.4639
Delaware;1989;68.6;10.0;3745.0;692488;540.8035951525515;70.6;3.275;0.4206
District of Columbia;1989;67.1;18.0;12937.0;604000;2141.887417218543;100.0;4.8;0.4999
Florida;1989;66.7;12.5;140484.0;12706303;1105.624507773819;84.3;5.608;0.4510
Georgia;1989;56.4;15.0;46159.0;6484989;711.7822404941627;62.4;5.417;0.4468
Hawaii;1989;73.8;11.3;707.0;1162879;60.79738304673143;86.5;2.483;0.4122
Idaho;1989;73.7;12.4;2525.0;1048197;240.8898327318243;54.0;5.433;0.4103
Illinois;1989;66.5;12.7;94011.0;11781259;797.9707431947638;83.3;6.05;0.4480
Indiana;1989;66.4;13.7;18966.0;5607665;338.2156387730009;64.2;4.733;0.4197
Iowa;1989;71.5;10.3;7550.0;2851865;264.739039190144;58.6;4.35;0.4095
Kansas;1989;73.3;10.8;10073.0;2514672;400.5691398321531;66.7;4.133;0.4234
Kentucky;1989;53.1;16.1;11745.0;3746539;313.48932975207254;50.9;6.342;0.4448
Louisiana;1989;57.7;23.3;30272.0;4408399;686.6892039490981;68.6;7.775;0.4616
Maine;1989;68.7;10.4;1669.0;1234299;135.2184519310151;47.5;4.025;0.4209
Maryland;1989;67.4;9.0;40124.0;4826741;831.2855402848422;80.3;3.775;0.4225
Massachusetts;1989;72.2;8.8;32218.0;5943089;542.1086576357851;83.8;4.208;0.4530
Michigan;1989;68.0;13.2;64436.0;9501079;678.196655348303;70.7;7.2;0.4322
Minnesota;1989;73.1;11.2;12549.0;4369480;287.1966458251325;66.9;4.333;0.4193
Mississippi;1989;54.8;22.0;5639.0;2639599;213.6309340926406;47.3;7.858;0.4510
Missouri;1989;63.5;12.6;31424.0;5228852;600.9732155356472;68.1;5.55;0.4326
Montana;1989;74.4;15.6;877.0;880653;99.5851941684182;52.9;5.958;0.4245
Nebraska;1989;73.4;12.8;4440.0;1700942;261.03182824576027;62.9;2.858;0.4153
Nevada;1989;75.5;10.8;6449.0;1116112;577.8093954728558;85.3;4.683;0.4253
New Hampshire;1989;72.3;7.7;1783.0;1249584;142.68748639547243;52.2;3.375;0.4076
New Jersey;1989;67.4;8.2;47064.0;7751018;607.1976610040126;89.0;4.042;0.4465
New Mexico;1989;68.9;19.5;9027.0;1548271;583.037465663311;72.1;6.733;0.4459
New York;1989;66.3;12.6;202374.0;19493230;1038.1758179634674;84.6;4.858;0.4810
North Carolina;1989;54.8;12.2;34297.0;6603111;519.4066857273791;48.0;3.567;0.4444
North Dakota;1989;66.4;12.2;413.0;667679;61.85607155534321;48.8;4.333;0.4244
Ohio;1989;67.0;10.6;46866.0;11217687;417.78666136789167;73.3;5.567;0.4333
Oklahoma;1989;66.0;14.7;15836.0;3268862;484.4499400708871;67.3;5.758;0.4372
Oregon;1989;75.6;11.2;14564.0;2839984;512.8197905340312;67.9;5.333;0.4285
Pennsylvania;1989;64.7;10.4;44541.0;12452069;357.6995919312686;69.3;4.933;0.4409
Rhode Island;1989;61.1;6.7;3763.0;1002916;375.2058995967758;87.0;3.9;0.4404
South Carolina;1989;53.7;17.0;28491.0;3580250;795.7824174289506;54.1;4.6;0.4406
South Dakota;1989;67.9;13.2;846.0;729630;115.94917972122856;46.4;3.925;0.4143
Tennessee;1989;56.2;18.4;25149.0;4956954;507.3478591893328;60.4;5.1;0.4482
Texas;1989;62.6;17.1;111776.0;17103967;653.5092122195979;79.6;6.733;0.4486
Utah;1989;80.0;8.2;4272.0;1768099;241.61542990522588;84.4;4.592;0.3944
Vermont;1989;71.0;8.0;720.0;575708;125.06340019593266;33.8;3.55;0.4145
Virginia;1989;62.4;10.9;19054.0;6105035;312.1030428162984;66.0;3.9;0.4407
Washington;1989;77.6;9.6;21999.0;4768628;461.32766070240746;73.5;5.85;0.4250
West Virginia;1989;56.0;15.7;2718.0;1905559;142.63531068835968;36.2;8.658;0.4351
Wisconsin;1989;69.6;8.4;10798.0;4895544;220.5679287123147;64.2;4.308;0.4117
Wyoming;1989;77.9;10.9;1226.0;478726;256.09638916624544;62.7;6.008;0.4076
Alabama;1990;66.9;19.2;27955.0;4114708;679.3920735080108;60.4;6.825;0.4501
Alaska;1990;86.6;11.4;2776.0;550043;504.68781531625706;67.5;7.25;0.3951
Arizona;1990;78.7;13.7;23597.0;3679876;641.2444332363373;87.5;5.225;0.4359
Arkansas;1990;66.3;19.6;12230.0;2407377;508.0218013215213;53.5;6.875;0.4434
California;1990;76.2;13.9;309460.0;30047608;1029.8989523558746;92.6;5.783;0.4564
Colorado;1990;84.4;13.7;17322.0;3328664;520.3889608563676;82.4;5.125;0.4291
Connecticut;1990;79.2;6.0;18154.0;3366867;539.195637962533;79.1;4.917;0.4650
Delaware;1990;77.5;6.9;4326.0;685172;631.3743118516227;73.0;4.358;0.4217
District of Columbia;1990;73.1;21.1;14921.0;606900;2458.559894546054;100.0;6.025;0.5010
Florida;1990;74.4;14.4;155971.0;12973660;1202.2127911476025;84.8;6.183;0.4521
Georgia;1990;70.9;15.8;47735.0;6573238;726.2022157116478;63.2;5.367;0.4479
Hawaii;1990;80.1;11.0;3113.0;1159108;268.5685889494335;89.0;2.608;0.4132
Idaho;1990;79.7;14.9;2755.0;1040226;264.84629301709435;57.4;5.583;0.4113
Illinois;1990;76.2;13.7;105899.0;11549939;916.8793012673052;84.6;6.317;0.4491
Indiana;1990;75.6;13.0;21339.0;5557361;383.9772150846418;64.9;5.125;0.4208
Iowa;1990;80.1;10.4;8220.0;2789295;294.6981226438939;60.6;4.425;0.4106
Kansas;1990;81.3;10.3;11080.0;2479255;446.908446287292;69.1;4.275;0.4245
Kentucky;1990;64.6;17.3;14348.0;3704741;387.2875323808061;51.8;6.042;0.4459
Louisiana;1990;68.3;23.6;33763.0;4243959;795.5543397096908;68.1;6.308;0.4626
Maine;1990;78.8;13.1;1756.0;1237608;141.8866070678276;44.6;5.358;0.4220
Maryland;1990;78.4;9.9;43934.0;4915457;893.7927846790237;81.3;4.4;0.4236
Massachusetts;1990;80.0;10.7;34996.0;6046866;578.7460810277588;84.3;6.367;0.4541
Michigan;1990;76.8;14.3;72238.0;9526552;758.2806455053203;70.5;7.683;0.4333
Minnesota;1990;82.4;12.0;8352.0;4391132;190.20152434497527;69.9;4.725;0.4203
Mississippi;1990;64.3;25.7;5996.0;2591165;231.40170541050068;47.1;7.55;0.4521
Missouri;1990;73.9;13.4;35374.0;5183863;682.3868609181994;68.7;5.908;0.4337
Montana;1990;81.0;16.3;1084.0;872769;124.20239490632687;52.5;6.067;0.4256
Nebraska;1990;81.8;10.3;5192.0;1671699;310.58222802071424;66.1;2.375;0.4164
Nevada;1990;78.8;9.8;6698.0;1206589;555.1186029377029;88.3;4.8;0.4264
New Hampshire;1990;82.2;6.3;1410.0;1257860;112.09514572368944;51.0;5.242;0.4087
New Jersey;1990;76.7;9.2;50060.0;7760737;645.0418304344033;89.4;5.05;0.4476
New Mexico;1990;75.1;20.9;9249.0;1536357;602.0085175515848;73.0;6.667;0.4470
New York;1990;74.8;14.3;211625.0;19570457;1081.3493011430444;84.3;5.333;0.4821
North Carolina;1990;70.0;13.0;39986.0;6656486;600.7073401791877;50.4;4.125;0.4454
North Dakota;1990;76.7;13.7;370.0;646556;57.2262882101473;53.3;4.158;0.4255
Ohio;1990;75.7;11.5;51093.0;11145651;458.4119850872775;74.1;5.742;0.4344
Oklahoma;1990;74.6;15.6;17214.0;3190024;539.619764616191;67.7;5.4;0.4383
Oregon;1990;81.5;9.2;14366.0;2864558;501.50843515823385;70.5;5.4;0.4295
Pennsylvania;1990;74.7;11.0;50966.0;12268767;415.4125675383679;68.9;5.517;0.4420
Rhode Island;1990;72.0;7.5;4334.0;1008925;429.5661223579552;86.0;6.225;0.4415
South Carolina;1990;68.3;16.2;33894.0;3555097;953.3917077368072;54.6;4.9;0.4416
South Dakota;1990;77.1;13.3;1058.0;704888;150.09476682820534;50.0;3.617;0.4154
Tennessee;1990;67.1;16.9;30129.0;4892545;615.8144687478602;60.9;5.367;0.4493
Texas;1990;72.1;15.9;129286.0;17094108;756.3190778951438;80.3;6.367;0.4497
Utah;1990;85.1;8.2;4880.0;1782310;273.80197608721267;87.0;4.367;0.3955
Vermont;1990;80.8;10.9;690.0;571253;120.78711184011289;32.2;4.808;0.4155
Virginia;1990;75.2;11.1;21763.0;6193231;351.39977824176106;69.4;4.45;0.4418
Washington;1990;83.8;8.9;24144.0;4877382;495.0196642379047;76.4;5.167;0.4261
West Virginia;1990;66.0;18.1;3036.0;1834076;165.53294410918633;36.1;8.642;0.4362
Wisconsin;1990;78.6;9.3;12944.0;4916209;263.29230510745174;65.7;4.408;0.4128
Wyoming;1990;83.0;11.0;1366.0;457141;298.8137139307128;65.0;5.15;0.4087
Alabama;1991;66.9;18.8;32509.0;4161618;781.1625190010232;60.4;7.267;0.4512
Alaska;1991;86.6;11.8;3375.0;570000;592.1052631578948;67.5;8.308;0.3961
Arizona;1991;78.7;14.8;24895.0;3764985;661.2244139086876;87.5;5.858;0.4369
Arkansas;1991;66.3;17.3;14031.0;2432370;576.8448056833458;53.5;7.308;0.4445
California;1991;76.2;15.7;328235.0;30612217;1072.235310497113;92.6;7.817;0.4575
Colorado;1991;84.4;10.4;18816.0;3408245;552.072987710684;82.4;5.275;0.4302
Connecticut;1991;79.2;8.6;17642.0;3370840;523.3710291796704;79.1;6.492;0.4661
Delaware;1991;77.5;7.5;4842.0;699396;692.311651768097;73.0;5.975;0.4228
District of Columbia;1991;73.1;18.6;14671.0;598000;2453.344481605351;100.0;7.675;0.5021
Florida;1991;74.4;15.4;158209.0;13313659;1188.3209566956762;84.8;7.675;0.4532
Georgia;1991;70.9;17.2;47026.0;6675591;704.4469920341135;63.2;5.292;0.4490
Hawaii;1991;80.1;7.7;2744.0;1187105;231.1505721903285;89.0;2.767;0.4143
Idaho;1991;79.7;13.9;2879.0;1071462;268.69828328022834;57.4;6.342;0.4124
Illinois;1991;76.2;13.5;115010.0;11649720;987.2340279423024;84.6;7.267;0.4502
Indiana;1991;75.6;15.7;23084.0;5623357;410.5021253318969;64.9;5.675;0.4219
Iowa;1991;80.1;9.6;6938.5;2807619;245.88168206904103;60.6;4.675;0.4117
Kansas;1991;81.3;12.3;12246.0;2496051;490.6149754151658;69.1;4.475;0.4256
Kentucky;1991;64.6;18.8;16175.0;3731114;433.5166387304167;51.8;7.275;0.4470
Louisiana;1991;68.3;19.0;35011.0;4276163;818.7480224678058;68.1;7.258;0.4637
Maine;1991;78.8;14.1;1616.0;1244734;129.82693491139472;44.6;7.775;0.4230
Maryland;1991;78.4;9.1;46456.0;4994174;930.2038735534644;81.3;5.817;0.4247
Massachusetts;1991;80.0;11.0;34758.0;6026328;576.7691370267268;84.3;8.883;0.4552
Michigan;1991;76.8;14.1;74242.0;9594949;773.761277939049;70.5;9.283;0.4344
Minnesota;1991;82.4;12.9;14003.0;4448238;314.7988034812886;69.9;5.092;0.4214
Mississippi;1991;64.3;23.7;6692.0;2610080;256.39060871697416;47.1;8.375;0.4532
Missouri;1991;73.9;14.8;37272.0;5228955;712.8001675286936;68.7;6.558;0.4348
Montana;1991;81.0;15.4;766.0;882516;86.79729319355117;52.5;6.933;0.4267
Nebraska;1991;81.8;9.5;5325.0;1687149;315.62120476614695;66.1;2.625;0.4175
Nevada;1991;78.8;11.4;8089.0;1289081;627.5012974359253;88.3;5.833;0.4275
New Hampshire;1991;82.2;7.3;1236.0;1250358;98.8516888763058;51.0;6.758;0.4097
New Jersey;1991;76.7;9.7;49315.0;7793921;632.7367187837802;89.4;6.758;0.4487
New Mexico;1991;75.1;22.4;9964.0;1569748;634.7515652193855;73.0;7.267;0.4480
New York;1991;74.8;15.3;210492.0;19643856;1071.5411475221567;84.3;7.308;0.4832
North Carolina;1991;70.0;14.5;42688.0;6761034;631.382714537451;50.4;5.925;0.4465
North Dakota;1991;76.7;14.5;368.0;646827;56.89311052259723;53.3;4.358;0.4266
Ohio;1991;75.7;13.4;56778.0;11240577;505.1164188457586;74.1;6.6;0.4355
Oklahoma;1991;74.6;17.0;18515.0;3218783;575.2174035963282;67.7;6.0;0.4394
Oregon;1991;81.5;13.5;14717.0;2951615;498.6083889667182;70.5;6.175;0.4306
Pennsylvania;1991;74.7;11.0;51678.0;12358119;418.17043516088495;68.9;6.925;0.4431
Rhode Island;1991;72.0;10.4;4632.0;1009463;458.8578283701335;86.0;8.283;0.4426
South Carolina;1991;68.3;16.4;34579.0;3617018;956.0085130900648;54.6;6.125;0.4427
